Planet Name,X,Y,Z,Orbital Period,Planet Radius,Planet Mass,Semi-Major Axis,Eccentricity,Insolation Flux,Equilibrium Temperature,Star Temperature,Star Radius
K2-343 b,-3.903664257513669,4.013921228710192,2.2058559634914356,2.787174,1.65,,0,0,,653.0,3804.0,0.46
K2-343 c,-3.903664257513669,4.013921228710192,2.2058559634914356,7.676972,2.02,,0,0,,465.0,3804.0,0.46
K2-344 b,-8.947392929201929,8.531961173580203,4.912089158955162,3.3557219,1.915,,0,0,37.3,688.0,3807.0,0.56
K2-345 b,-3.877888928894297,4.201311501023693,2.285541149445705,10.366,,,0,0,,,3675.0,0.54
K2-346 b,-5.135666326503474,7.072145646811115,3.6494966156028075,26.197022,2.362,,0,0,,,4789.0,0.69
K2-347 b,-1.7003443891486876,2.3085946925751095,1.2346533707275285,7.187257,2.41,,0,0,,640.0,4599.0,0.63
K2-348 b,-2.9520709057428363,3.4105673506810223,2.048337763381432,4.688625,3.8,,0,0,,,5220.0,0.83
K2-348 c,-2.9520709057428363,3.4105673506810223,2.048337763381432,12.550896,2.6,,0,0,,,5220.0,0.83
K2-349 b,-2.0175182759063013,-0.6986147208906548,-0.5499655633741604,9.032178,1.38,,0,0,,518.0,4385.0,0.49
K2-35 b,-3.898995064670956,0.6802660034675707,0.08884045945219674,2.3996463,1.52,,0,0,,,4326.0,0.67
K2-35 c,-3.898995064670956,0.6802660034675707,0.08884045945219674,5.6089465,2.17,,0,0,,,4326.0,0.67
K2-350 b,-1.8107616496358598,-0.8075480808343416,-0.4946759227228146,4.163873,1.54,,0,0,,1158.0,5789.0,1.04
K2-350 c,-1.8107616496358598,-0.8075480808343416,-0.4946759227228146,19.991,,,0,0,,,5799.0,0.98
K2-351 b,-1.2592483026616514,-0.6320212971790792,-0.29447352438554414,7.806,,,0,0,,,5739.0,1.04
K2-352 b,-4.153919094000893,3.430911020834486,1.7994894299571667,3.665912,1.37,,0,0,,1160.0,5791.0,0.95
K2-352 c,-4.153919094000893,3.430911020834486,1.7994894299571667,8.234885,1.92,,0,0,,885.0,5791.0,0.95
K2-352 d,-4.153919094000893,3.430911020834486,1.7994894299571667,14.869943,4.4,,0,0,,,5930.0,0.92
K2-353 b,-3.459512269248244,-1.3708952760889517,-0.14828285878259181,15.466805,5.55,,0,0,,735.0,5698.0,0.99
K2-354 b,-6.772745933192881,8.324976084343701,1.9207823242826265,3.794,,,0,0,,,3510.0,0.42
K2-355 b,-1.1043881295742684,1.5983568019385714,0.46652141825421944,5.7385647,2.25,,0,0,,1066.0,5790.0,0.92
K2-356 b,-1.6947072031469752,2.144184967406425,0.6642941782419799,21.0267366,2.29,,0,0,,624.0,5568.0,0.86
K2-357 b,-1.2389269952093942,1.37893362725496,0.5430907871424093,16.3488637,3.72,,0,0,,735.0,5794.0,1.0
K2-358 b,-1.3631453688261905,1.421072373018569,0.6761058904225001,11.2510285,2.68,,0,0,,888.0,5650.0,0.91
K2-36 b,-8.937254051832225,1.6646503198206484,0.61442030372025,1.422647,1.45,,0,0,570.0,,4953.0,0.75
K2-36 c,-8.937254051832225,1.6646503198206484,0.61442030372025,5.3410507,3.12,,0,0,,,4953.0,0.73
K2-365 b,-2.5812020507219837,-4.265381277500926,-1.9164806793785443,23.44701,3.24,,0,0,,,,1.11
K2-366 b,-2.2498073758003376,-4.548159925343318,-1.7816182602205193,15.93709,1.87,,0,0,,,,0.73
K2-367 b,5.094492621995108,-2.072922824904892,-1.2965612504614568,20.645099,2.413,,0,0,,,4348.0,0.62
K2-368 b,4.21711912294643,-2.182608531526822,-0.9373024648996099,5.02629,1.322,,0,0,,,,0.58
K2-368 c,4.21711912294643,-2.182608531526822,-0.9373024648996099,9.65869,1.38,,0,0,,,,0.58
K2-368 d,4.21711912294643,-2.182608531526822,-0.9373024648996099,20.201085,1.948,,0,0,,,4663.0,0.66
K2-369 b,4.570825592825258,-2.6681660139675403,-1.0168046682862242,5.7619248,1.37,,0,0,,,5350.0,0.83
K2-37 b,-2.25507958813469,-4.513313044497664,-2.3298874561690495,4.44118,1.66,,0,0,240.0,,5512.0,0.87
K2-37 c,-2.25507958813469,-4.513313044497664,-2.3298874561690495,6.42904,2.75,,0,0,130.3,861.0,5413.0,0.85
K2-37 d,-2.25507958813469,-4.513313044497664,-2.3298874561690495,14.090907,2.33,,0,0,,,4740.0,0.72
K2-370 b,2.4626578027432173,6.040745140137112,2.3526599239024653,2.14084,3.207,,0,0,,,5377.0,0.97
K2-371 b,-1.363834624499721,1.7414216099520459,0.4552778117776515,3.114878,12.5,,0,0,,,,0.77
K2-372 b,-1.3724126339341276,1.5900186292518614,0.485279149163963,9.84413,3.23,,0,0,,,,0.94
K2-373 b,-2.3135044959068636,3.544018716845189,1.0308237470951067,11.0213,2.25,,0,0,,,,1.51
K2-374 b,-1.964382778351286,1.8076402180802498,0.7834482808549428,4.521953,1.593,,0,0,,,5789.0,0.91
K2-374 c,-1.964382778351286,1.8076402180802498,0.7834482808549428,16.43445,2.213,,0,0,,,5789.0,0.91
K2-375 b,-0.8747205257861117,1.0241185989761943,0.49979337309805777,14.460563,1.755,,0,0,,,5838.0,1.07
K2-376 b,-3.8033252647675115,4.118834712893782,2.618777042506501,5.776475,1.736,,0,0,,,5937.0,1.15
K2-377 b,-4.615704623393315,-1.9495493765865013,-1.0737189703346968,12.83724862,,,0,0,,,4314.0,0.7
K2-378 b,-1.2909542488272479,-0.6063670615504702,-0.2802684221249059,2.06,,,0,0,,,4854.0,0.74
K2-379 b,1.1008919575240617,-4.7564548670242575,-2.507031827064555,8.7783,2.27,,0,0,,,,0.69
K2-38 b,-2.3827970366551003,-4.132672173206915,-2.043552715527223,4.01628,1.64,,0,0,480.0,,5758.0,1.12
K2-38 c,-2.3827970366551003,-4.132672173206915,-2.043552715527223,10.56103,2.42,9.9,0,0,128.3,858.0,5757.0,1.1
K2-380 b,0.8337457387074522,-3.4903368537971873,-1.7922073494202548,9.40172,1.96,,0,0,,,,1.13
K2-381 b,1.9827744520418245,-6.092668000445048,-2.46045969075378,7.9389334,1.075,,0,0,,,4473.0,0.68
K2-381 c,1.9827744520418245,-6.092668000445048,-2.46045969075378,16.035054,2.058,,0,0,,,4661.0,0.65
K2-381 d,1.9827744520418245,-6.092668000445048,-2.46045969075378,26.804998,1.532,,0,0,,,4661.0,0.65
K2-382 b,1.0123950116980882,-3.2280829770976607,-1.2064651489072367,21.697619,2.771,,0,0,,,5570.0,0.88
K2-383 b,0.9688882203832057,-4.554834336671928,-1.5472492872921406,1.865979,1.859,,0,0,,,5231.0,0.83
K2-384 b,11.33062317203121,4.236310416529685,0.15855889172896234,2.231527,1.076,,0,0,,,3623.0,0.35
K2-384 c,11.33062317203121,4.236310416529685,0.15855889172896234,4.19525,1.05,,0,0,,,,0.26
K2-384 d,11.33062317203121,4.236310416529685,0.15855889172896234,6.6791,1.1,,0,0,,,,0.26
K2-384 e,11.33062317203121,4.236310416529685,0.15855889172896234,9.71601,1.14,,0,0,,,,0.26
K2-384 f,11.33062317203121,4.236310416529685,0.15855889172896234,13.62749,2.222,,0,0,,,3623.0,0.35
K2-385 b,2.3067970286702337,0.5162252576251309,0.24308198076352316,2.38098,1.72,,0,0,,,,0.73
K2-386 b,2.1976568338488804,0.7268053548650453,0.28474658626228877,7.47372,,,0,0,,,5592.0,1.01
K2-387 b,3.4713327266631855,1.2252984460765237,0.7401611339311339,28.735327,7.322,,0,0,,,3572.0,0.58
K2-388 b,3.3509851468754155,-0.4284427979988415,-0.6614025692920333,6.339069,3.66,,0,0,,,5367.0,0.9
K2-389 b,3.791543901769451,-0.28971884562573086,-0.6509175107423861,8.583566,2.118,,0,0,,,5782.0,1.08
K2-389 c,3.791543901769451,-0.28971884562573086,-0.6509175107423861,20.851337,2.04,,0,0,,,5782.0,1.08
K2-39 b,2.9858822570420185,-1.184111256024747,-0.5100657310182419,4.60543,6.277,28.6047,0,0,,,4881.0,2.97
K2-390 b,2.1556873175010915,-0.1619966658768896,-0.36519724231271805,3.312792,4.662,,0,0,,,5558.0,0.97
K2-391 b,1.9467470064751156,-0.12841499847681584,-0.2638350797718844,4.622654,1.371,,0,0,,,5543.0,0.57
K2-392 b,2.4255771665274937,-0.22715308817112423,-0.31981707200571163,15.398723,1.85,,0,0,,,5726.0,1.06
K2-393 b,3.6853231724371884,-0.7487217399211494,-0.005388843500846063,10.41144,,,0,0,,,5540.0,1.12
K2-394 b,3.1667559359116635,9.254608669784817,2.9008387103244617,5.095717,1.692,,0,0,,,4938.0,0.63
K2-395 b,1.1183290944449171,3.148258565165884,1.0007134099591821,4.803352,2.597,,0,0,,,5007.0,0.78
K2-395 c,1.1183290944449171,3.148258565165884,1.0007134099591821,8.491282,3.395,,0,0,,,5007.0,0.78
K2-396 b,0.9171544999892355,3.3509116668890893,1.0800220906705562,0.673862,1.579,,0,0,,,5236.0,0.92
K2-396 c,0.9171544999892355,3.3509116668890893,1.0800220906705562,25.76051,3.124,,0,0,,,5236.0,0.92
K2-397 b,0.8156630944313639,4.603141262607533,1.8188100736052348,3.572326,2.417,,0,0,,,5387.0,0.97
K2-398 b,-1.5635700564835147,0.5160427653011218,0.055676898497682904,6.393025,2.274,,0,0,,,5946.0,1.24
K2-398 c,-1.5635700564835147,0.5160427653011218,0.055676898497682904,18.787839,5.098,,0,0,,,5946.0,1.24
K2-4 b,-4.285440999992451,0.3941131752449528,-0.29380558068598167,10.003417,2.1,,0,0,15.6,,4014.73,0.57
K2-400 b,-14.440269192631797,6.884242852109312,1.0336385744178138,3.865053,1.163,,0,0,,,3578.0,0.38
K2-401 b,-4.503920211876291,2.1013989162548232,0.34360083005118874,6.293099,2.262,,0,0,,,4213.0,0.68
K2-402 b,-1.801173800877838,0.6043457177254081,0.21375187569915885,17.27474,2.678,,0,0,,,5716.0,1.28
K2-403 b,-3.8462666122194284,1.089153327748511,0.6814348070890803,33.589979,5.333,,0,0,,,5511.0,0.89
K2-404 b,-7.5670683215420524,2.705685447109361,1.7361935532261508,13.115365,2.53,,0,0,,,3748.0,0.55
K2-405 b,-4.766378751718533,1.332949655828748,1.1004513404472156,3.4355113,4.184,,0,0,146.58,969.0,4870.0,0.8
K2-406 b,-6.6764984157541845,-8.211687640105609,-5.018697329541483,22.549406,4.602,,0,0,,,5784.0,0.96
K2-407 b,-2.562714467230442,-3.346472233495914,-1.789754199004135,4.941907,1.283,,0,0,,,5563.0,0.93
K2-407 c,-2.562714467230442,-3.346472233495914,-1.789754199004135,9.22453,1.36,,0,0,,,5563.0,0.93
K2-408 b,-3.9341587018776902,-4.356595493695826,-1.8715974898316252,20.978959,1.677,,0,0,,,5335.0,0.78
K2-409 b,-1.4764188693951001,-1.6661558810251285,-0.6531453765109848,1.908084,2.482,,0,0,,,5742.0,1.23
K2-411 b,1.6759792024082796,2.6825056531915683,1.113318615580475,3.2141,0.99,,0,0,619.04,,5711.0,1.38
K2-412 b,0.3376224984721955,1.3810155239463664,0.562316222336371,5.9382,2.116,,0,0,243.52,,5590.0,0.98
K2-413 b,3.452962894987828,-0.39844863002281167,-0.46452352556907356,0.8094,0.76,,0,0,921.75,,4116.0,0.7
K2-413 c,3.452962894987828,-0.39844863002281167,-0.46452352556907356,5.3301,1.233,,0,0,69.53,,4116.0,0.7
K2-414 b,3.7924299771999697,-0.5575698122722756,-0.3088600592411777,4.3696,1.219,,0,0,72.11,,4343.0,0.73
