Planet Name,X,Y,Z,Orbital Period,Planet Radius,Planet Mass,Semi-Major Axis,Eccentricity,Insolation Flux,Equilibrium Temperature,Star Temperature,Star Radius
Kepler-1777 b,170.134437077535,-459.22741179777984,378.8221573374802,12.18412342,,,0,0,,,5600.06,1.02
Kepler-1778 b,275.1565818656776,-880.1086351917622,882.3909619986426,10.08746035,2.92,,0,0,197.01,955.0,6343.0,1.14
Kepler-1779 b,321.7933518908101,-548.1007248948354,649.1599964951886,16.34355902,3.26,,0,0,67.34,730.0,5730.0,1.06
Kepler-178 b,143.87464955719398,-467.6420170232756,522.7837313404052,9.57666498,2.83,,0,0,142.5,881.0,5675.0,1.04
Kepler-1780 b,236.65704355951755,-529.4518387808333,537.2054917824863,109.4449666,3.21,,0,0,2.74,328.0,5508.0,0.77
Kepler-1781 b,263.21535570259294,-661.045055061517,648.3776897773962,4.887533,2.5,,0,0,,897.0,5394.0,0.77
Kepler-1782 b,41.63188720275842,-215.66094910381705,212.75781598704575,5.75623842,,,0,0,,,4867.0,0.74
Kepler-1783 b,90.02659344996144,-176.5264104860018,174.55895553285987,8.27744313,2.38,,0,0,331.35,1088.0,5129.0,1.78
Kepler-1784 b,294.394204572973,-554.7450290137748,620.7724841867209,13.59056583,3.2,,0,0,64.8,724.0,5442.0,0.97
Kepler-1785 b,218.79572614554752,-452.7583945946688,550.6962991926682,19.58579,2.2,,0,0,,675.0,6006.0,0.94
Kepler-1786 b,259.61045849994593,-624.0493584062482,538.055358110295,78.5460968,3.163,,0,0,,,5808.0,1.4
Kepler-1787 b,173.06031054765498,-500.77714650155553,570.5203351843901,39.3134832,2.14,,0,0,20.04,540.0,6060.0,0.93
Kepler-1788 b,141.505526632237,-364.36304210445144,401.63958657722355,2.80011812,1.97,,0,0,197.81,956.0,4786.0,0.7
Kepler-1789 b,101.4834670835858,-444.41362742960257,407.5318247506042,80.2317349,3.44,,0,0,5.87,397.0,5685.0,0.89
Kepler-179 b,195.2941335325438,-357.2504151083527,448.42012077145085,2.73589,1.7,,0,0,,1056.0,5289.0,0.74
Kepler-1790 b,308.64985957728226,-675.1813417351301,770.7978002405519,31.58885167,,,0,0,,,6108.0,1.39
